state_code,district_code,sub_district_code,level,area_name,noofvillages,total_population,male_population,female_population
5,61,309,SUB-DISTRICT,Dhoomakot,331,39230,17661,21569
5,61,310,SUB-DISTRICT,Lansdowne,483,71954,33141,38813
5,61,311,SUB-DISTRICT,Satpuli,240,31494,14893,16601
5,61,312,SUB-DISTRICT,Chaubatta Khal,247,38436,17190,21246
5,61,313,SUB-DISTRICT,"Kotdwara",301,119136,58172,60964
5,61,314,SUB-DISTRICT,Yamkeshwar,226,38896,18651,20245
5,62,0,DISTRICT,Pithoragarh,1572,413834,202930,210904
5,62,315,SUB-DISTRICT,Munsiari,219,46523,22889,23634
5,62,316,SUB-DISTRICT,Dharchula,71,58650,29443,29207
5,62,317,SUB-DISTRICT,Didihat,363,73889,36273,37616
5,62,318,SUB-DISTRICT,Berinag,283,52069,25121,26948
5,62,319,SUB-DISTRICT,Gangolihat,312,71946,34419,37527
5,62,320,SUB-DISTRICT,"Pithoragarh",324,110757,54785,55972
5,63,0,DISTRICT,Bageshwar,874,250819,119615,131204
5,63,321,SUB-DISTRICT,Kapkot,146,64894,31064,33830
5,63,322,SUB-DISTRICT,Kanda,160,26272,12354,13918
5,63,323,SUB-DISTRICT,"Bageshwar",378,91024,44385,46639
5,63,324,SUB-DISTRICT,Garud,190,68629,31812,36817
5,64,0,DISTRICT,"Almora",2184,560192,257359,302833
5,64,325,SUB-DISTRICT,Bhikiasain,376,70487,30555,39932
5,64,326,SUB-DISTRICT,Chaukhutiya,164,46051,20047,26004
5,64,327,SUB-DISTRICT,Sult,228,57126,25503,31623
5,64,328,SUB-DISTRICT,Ranikhet,300,81238,38308,42930
5,64,329,SUB-DISTRICT,"Dwarahat",206,52319,22994,29325
5,64,330,SUB-DISTRICT,"Almora",428,123884,59981,63903
5,64,331,SUB-DISTRICT,Someshwar,141,40282,18214,22068
5,64,332,SUB-DISTRICT,Jainti,117,30981,14809,16172
5,64,333,SUB-DISTRICT,Bhanoli,224,57824,26948,30876
5,65,0,DISTRICT,Champawat,662,221305,110842,110463
5,65,334,SUB-DISTRICT,Champawat,186,49723,25224,24499
5,65,335,SUB-DISTRICT,Pati,139,45504,23038,22466
5,65,336,SUB-DISTRICT,Lohaghat,267,78551,38240,40311
5,65,337,SUB-DISTRICT,Poornagiri,70,47527,24340,23187
